year,season,year_season,city,total_population,total_population_increase,births,deaths,natural_increase_rate,immigrants,emigrants,social_increase_rate,total_increase_rate
103,2,1032,宜蘭縣,"2,049,009","11,872","4,199","2,875",0.65,"28,850","18,302",5.15,5.8
103,2,1032,新竹縣,"533,851","4,086","1,335",899,0.82,"8,088","4,438",6.84,7.66
103,2,1032,苗栗縣,"566,446","2,332","1,429","1,152",0.49,"6,149","4,094",3.63,4.12
103,2,1032,彰化縣,"1,293,530","1,954","2,794","2,352",0.34,"10,053","8,541",1.17,1.51
103,2,1032,南投縣,"515,784","1,133",824,"1,173",-0.68,"5,246","3,764",2.87,2.19
103,2,1032,雲林縣,"707,282","2,622","1,278","1,790",-0.72,"8,151","5,017",4.43,3.71
103,2,1032,嘉義縣,"526,936","1,061",720,"1,429",-1.34,"5,770","4,000",3.36,2.02
103,2,1032,屏東縣,"850,527","2,467","1,205","1,937",-0.86,"9,897","6,698",3.76,2.9
103,2,1032,台東縣,"225,041","1,301",424,573,-0.66,"3,319","1,869",6.45,5.79
103,2,1032,花蓮縣,"333,630","1,932",590,773,-0.55,"5,712","3,597",6.34,5.79
103,2,1032,澎湖縣,"101,112",640,218,217,0.01,"1,660","1,021",6.32,6.33
103,2,1032,基隆市,"373,786","1,331",501,715,-0.57,"5,540","3,995",4.13,3.56
103,2,1032,新竹市,"430,041","2,985","1,289",627,1.54,"6,732","4,409",5.41,6.95
103,2,1032,嘉義市,"270,841",991,479,476,0.01,"3,851","2,863",3.65,3.66
103,2,1032,福建省,"136,373","2,325",378,186,1.41,"3,685","1,552",15.7,17.11
103,2,1032,金門縣,"123,947","2,125",336,167,1.37,"3,329","1,373",15.84,17.21
103,2,1032,連江縣,"12,426",200,42,19,1.86,356,179,14.31,16.17
103,1,1031,新北市,"3,955,390",461,"8,823","6,045",0.7,"40,576","42,893",-0.59,0.11
103,1,1031,台北市,"2,690,232","3,716","6,688","4,761",0.72,"33,574","31,785",0.66,1.38
103,1,1031,桃園市,"2,705,064","3,403","6,045","4,283",0.65,"32,223","30,582",0.61,1.26
103,1,1031,台中市,"1,883,077",-131,"3,581","3,925",-0.18,"19,238","19,025",0.11,-0.07
103,1,1031,台南市,"2,778,669","-1,208","5,166","5,375",-0.08,"30,866","31,865",-0.36,-0.44
103,1,1031,高雄市,"9,232,555","-1,893","17,975","20,174",-0.24,"91,602","91,296",0.03,-0.21
103,1,1031,台灣省,"458,427",-29,827,"1,067",-0.52,"5,318","5,107",0.46,-0.06
